No Usable Ace
12 1 0
12 2 -1.7526e-07
12 3 -0.2
12 4 -0.176471
12 5 -2.23736e-08
12 6 -0.169892
12 7 -0.2
12 8 -3.80351e-07
12 9 -0.46281
12 10 -0.435678
13 1 -0.714286
13 2 -0.153846
13 3 0
13 4 0
13 5 0
13 6 -0.161998
13 7 -0.52452
13 8 0
13 9 0
13 10 -0.565699
14 1 0
14 2 0
14 3 0
14 4 1
14 5 0
14 6 0
14 7 0
14 8 0
14 9 -0.522831
14 10 -0.25
15 1 -0.648746
15 2 0
15 3 -0.176322
15 4 -0.236282
15 5 -0.16775
15 6 0
15 7 0
15 8 0
15 9 0
15 10 0
16 1 0
16 2 -0.225248
16 3 -0.191327
16 4 -0.142857
16 5 -0.460422
16 6 0
16 7 -0.520097
16 8 0
16 9 0
16 10 -0.578975
17 1 0
17 2 1
17 3 -0.0547619
17 4 0.0163934
17 5 -0.0193798
17 6 -0.0461538
17 7 -0.116556
17 8 0
17 9 0
17 10 -0.391304
18 1 0
18 2 0.135785
18 3 0.124066
18 4 0.242353
18 5 0.225718
18 6 0.289855
18 7 0.382734
18 8 0
18 9 0
18 10 -0.208204
19 1 -0.154023
19 2 0.344512
19 3 0.366873
19 4 0.405852
19 5 0.460829
19 6 0.516393
19 7 0.66763
19 8 0.586639
19 9 0.196429
19 10 0.00202488
20 1 0.137931
20 2 0.633612
20 3 0.648374
20 4 0.692843
20 5 0.677254
20 6 0.713849
20 7 0.732995
20 8 0.780843
20 9 0.731656
20 10 0.432533
21 1 0.647332
21 2 0.842466
21 3 0.902724
21 4 0.895652
21 5 0.909091
21 6 0.92233
21 7 0.91954
21 8 0.925267
21 9 0.95045
21 10 0.89406
