No Usable Ace
12 1 0
12 2 -9.32233e-10
12 3 0.526789
12 4 -1
12 5 0
12 6 0.916667
12 7 -2.08333
12 8 -2.545e-07
12 9 0
12 10 -1.41667
13 1 -3.06282
13 2 0
13 3 0
13 4 0
13 5 1.25612
13 6 -1.12684
13 7 -2.09387
13 8 -1.27294
13 9 -3.21039
13 10 -2.44429
14 1 -3.25156
14 2 -1.5
14 3 0
14 4 1
14 5 -1.34844
14 6 0.452345
14 7 -1.5
14 8 -1.41667
14 9 -1.83333
14 10 -1.39766
15 1 -4.6832
15 2 -2.60321
15 3 0
15 4 -1
15 5 0
15 6 0.25
15 7 -3.66996
15 8 -1.04506
15 9 -2.45
15 10 -2.50473
16 1 -1
16 2 0
16 3 0
16 4 0
16 5 0
16 6 1
16 7 -1
16 8 -2.73807
16 9 -1.65571
16 10 -5.16941
17 1 -3.4025
17 2 -1
17 3 -0.528714
17 4 0.833333
17 5 -1.5
17 6 -0.138496
17 7 -1.83333
17 8 -1
17 9 -3.90986
17 10 -3.71676
18 1 -1
18 2 2.32792
18 3 0
18 4 0
18 5 1.53338
18 6 1.57366
18 7 1.32019
18 8 1.90961
18 9 0
18 10 0
19 1 1.17722
19 2 2.81224
19 3 3.55952
19 4 2.33905
19 5 2.86396
19 6 4.84332
19 7 4.98196
19 8 4.00705
19 9 0
19 10 0
20 1 3.50566
20 2 5.58942
20 3 5.15044
20 4 4.79388
20 5 5.72037
20 6 5.91754
20 7 7.7297
20 8 5.84536
20 9 6.17623
20 10 5.93044
21 1 5.27987
21 2 5.71444
21 3 6.95984
21 4 6.27334
21 5 6.05129
21 6 5.49018
21 7 7.07511
21 8 6.38273
21 9 5.90359
21 10 7.33664
