Usable Ace
12 1 -0.1875
12 2 5.58248e-09
12 3 0.05
12 4 0.214286
12 5 0.333333
12 6 0.135135
12 7 0.047619
12 8 -9.30414e-10
12 9 0
12 10 0.034188
13 1 -0.5
13 2 -0.137931
13 3 0.0446429
13 4 0.166667
13 5 0
13 6 0.0625
13 7 0
13 8 0.0978261
13 9 1
13 10 0
14 1 -0.421687
14 2 0.075
14 3 0.0285714
14 4 0
14 5 0.0409836
14 6 -0.111111
14 7 -0.111111
14 8 -0.2
14 9 0.010101
14 10 -0.224324
15 1 -0.173913
15 2 0.142857
15 3 -0.0833333
15 4 0.0123457
15 5 0.102273
15 6 0.05
15 7 -0.0740741
15 8 0
15 9 0
15 10 -0.56674
16 1 0
16 2 1
16 3 0
16 4 0.416667
16 5 0
16 6 0.104348
16 7 0.333333
16 8 0
16 9 -0.237705
16 10 -0.284848
17 1 -0.2
17 2 -0.186567
17 3 -0.0315789
17 4 1.11022e-17
17 5 0
17 6 0.0227273
17 7 0.155738
17 8 -0.0942029
17 9 0
17 10 0
18 1 0
18 2 0.15873
18 3 0.166667
18 4 0.198276
18 5 0.8
18 6 0.24812
18 7 0.375
18 8 0
18 9 -0.248
18 10 -0.152174
19 1 0
19 2 0.492647
19 3 0.518519
19 4 0.4
19 5 0.555556
19 6 0.594406
19 7 0.611511
19 8 0.577922
19 9 0.369565
19 10 0
20 1 1
20 2 0.525547
20 3 0.581699
20 4 0.638298
20 5 0.682927
20 6 0.761589
20 7 0.833333
20 8 0.8
20 9 0.821138
20 10 0.448
21 1 0.653614
21 2 0.907767
21 3 0.864224
21 4 0.885177
21 5 0.881166
21 6 0.914798
21 7 0.925773
21 8 0.920188
21 9 0.936034
21 10 0.901024
