No Usable Ace
12 1 0
12 2 -1.89056e-06
12 3 -0.236923
12 4 -0.218839
12 5 0
12 6 0
12 7 -0.299331
12 8 -2.84236e-06
12 9 -0.477477
12 10 -0.570302
13 1 -0.761492
13 2 0
13 3 0.333333
13 4 0.04
13 5 0
13 6 0
13 7 0.333333
13 8 -0.511181
13 9 0.333333
13 10 -0.490055
14 1 -0.615023
14 2 0
14 3 -0.240018
14 4 -0.186109
14 5 0
14 6 -0.33079
14 7 0.2
14 8 -0.52737
14 9 0
14 10 0
15 1 0
15 2 0
15 3 -0.237586
15 4 -0.185596
15 5 -0.132833
15 6 0.125
15 7 0
15 8 0
15 9 0
15 10 0
16 1 1
16 2 -0.293917
16 3 -0.248208
16 4 -0.428571
16 5 -0.545503
16 6 0
16 7 -0.495466
16 8 0
16 9 0
16 10 0
17 1 0
17 2 1
17 3 0
17 4 -0.033742
17 5 -0.027308
17 6 0.0248075
17 7 0
17 8 0
17 9 -0.423168
17 10 -0.461426
18 1 -0.377636
18 2 0.121187
18 3 0.155456
18 4 0.195184
18 5 1
18 6 0.5
18 7 0.403052
18 8 0
18 9 0
18 10 0
19 1 0
19 2 0.385195
19 3 0.397748
19 4 0.416416
19 5 0.459626
19 6 0.492963
19 7 0.609557
19 8 0.584606
19 9 0
19 10 0
20 1 0.151338
20 2 0.616197
20 3 0.631866
20 4 0.643971
20 5 0.670846
20 6 0.703177
20 7 0.770006
20 8 0.778672
20 9 0.74729
20 10 0.446764
21 1 0.640954
21 2 0.883025
21 3 0.873911
21 4 0.885795
21 5 0.901677
21 6 0.90119
21 7 0.928678
21 8 0.929927
21 9 0.942901
21 10 0.886102
