No Usable Ace
12 1 0
12 2 0
12 3 0
12 4 0
12 5 9.32233e-10
12 6 0.616667
12 7 -1.0667
12 8 -1.73395e-07
12 9 0
12 10 -3.24438
13 1 -2.75246
13 2 0
13 3 0
13 4 0
13 5 0
13 6 -0.225162
13 7 -2.34433
13 8 -1
13 9 0
13 10 -0.833333
14 1 0
14 2 0
14 3 -3.33792
14 4 -1.65953
14 5 -2.11667
14 6 -0.594147
14 7 -4.05321
14 8 -4.73398
14 9 -2.65605
14 10 -2.66476
15 1 -1
15 2 1.5
15 3 -0.583333
15 4 0
15 5 0
15 6 0.375228
15 7 0
15 8 -1.98396
15 9 0
15 10 0
16 1 0
16 2 -1.83333
16 3 0
16 4 -0.703211
16 5 -1
16 6 -0.436401
16 7 -3.11459
16 8 -3.17891
16 9 -3.97717
16 10 -2.40127
17 1 0
17 2 -1
17 3 0.963515
17 4 0.0829937
17 5 0.144543
17 6 0.326412
17 7 -1.64073
17 8 -2.31303
17 9 -2.22646
17 10 -3.1885
18 1 -2.45
18 2 0.151371
18 3 -0.260882
18 4 2.16271
18 5 0.786424
18 6 0.859019
18 7 5.52591
18 8 0
18 9 0
18 10 0
19 1 0
19 2 3.6018
19 3 3.75489
19 4 1.66704
19 5 4.49838
19 6 3.00535
19 7 4.24902
19 8 5.62566
19 9 2.33944
19 10 0.0265273
20 1 4.07358
20 2 7.1037
20 3 6.66762
20 4 6.39617
20 5 7.45457
20 6 7.55009
20 7 8.57285
20 8 6.24621
20 9 7.23995
20 10 5.71805
21 1 6.76793
21 2 7.98647
21 3 8.17693
21 4 9.48258
21 5 7.04698
21 6 7.92194
21 7 9.44963
21 8 8.20308
21 9 8.3913
21 10 9.69832
