Usable Ace
12 1 0
12 2 0
12 3 1.9298
12 4 0
12 5 0.853621
12 6 0
12 7 0.67519
12 8 0
12 9 0
12 10 0.583333
13 1 0
13 2 2.23534
13 3 -1
13 4 0.551838
13 5 -0.620718
13 6 1.02566
13 7 -1
13 8 -0.833333
13 9 0.304365
13 10 -2.27036
14 1 -2.08333
14 2 -1
14 3 -0.833333
14 4 0
14 5 0.994024
14 6 0
14 7 0.892857
14 8 0
14 9 0.762194
14 10 -0.283333
15 1 0
15 2 1.69999
15 3 0.613715
15 4 0
15 5 0
15 6 0.95
15 7 -1.11667
15 8 -0.166667
15 9 -1.5
15 10 -0.505353
16 1 0
16 2 1
16 3 0
16 4 1.38143
16 5 1.44275
16 6 0.915773
16 7 0
16 8 -1.03464
16 9 -1.93896
16 10 -3.19288
17 1 0
17 2 -1.66084
17 3 0
17 4 0.965185
17 5 0
17 6 1.70232
17 7 -0.0839247
17 8 -2.1399
17 9 -2.61457
17 10 -1.59477
18 1 0
18 2 1.24185
18 3 1
18 4 0.941451
18 5 1.87505
18 6 2.44228
18 7 2.24781
18 8 0
18 9 0.585178
18 10 0.166667
19 1 -1.43148
19 2 1.35914
19 3 1.45697
19 4 3.36297
19 5 0.780888
19 6 4.97502
19 7 4.63525
19 8 3.53848
19 9 2.85551
19 10 0
20 1 0
20 2 6.93752
20 3 6.15789
20 4 5.86845
20 5 6.95076
20 6 5.5042
20 7 5.812
20 8 7.23717
20 9 5.5345
20 10 4.38858
21 1 7.10569
21 2 9.26919
21 3 7.46997
21 4 8.86435
21 5 7.80242
21 6 8.35458
21 7 8.47452
21 8 8.80753
21 9 8.5934
21 10 9.30633
