Usable Ace
12 1 0
12 2 -9.30414e-10
12 3 0.0895522
12 4 1
12 5 0
12 6 1
12 7 0
12 8 1.48866e-08
12 9 0
12 10 -0.22903
13 1 -0.504348
13 2 -0.130168
13 3 0.0293225
13 4 0.0976096
13 5 0.118602
13 6 0.0570506
13 7 0
13 8 0
13 9 0
13 10 0
14 1 0
14 2 0
14 3 -0.0253807
14 4 0.0341969
14 5 -0.0475737
14 6 0.0391566
14 7 -0.103448
14 8 -0.25
14 9 0
14 10 -0.265617
15 1 -0.518519
15 2 0
15 3 -0.0475746
15 4 0.0332963
15 5 0
15 6 0.238095
15 7 0
15 8 0
15 9 -0.174472
15 10 -0.26087
16 1 0
16 2 1
16 3 -0.236715
16 4 0
16 5 0.0458716
16 6 0
16 7 -0.230969
16 8 -0.183376
16 9 -0.212121
16 10 -0.325958
17 1 -0.583333
17 2 -0.143779
17 3 0.142857
17 4 0.0342988
17 5 0.128205
17 6 0.0263415
17 7 -0.0850168
17 8 -0.388025
17 9 0
17 10 -0.333333
18 1 -0.406709
18 2 0.225
18 3 0.0645624
18 4 0.538462
18 5 0.215993
18 6 0.248895
18 7 0.444252
18 8 0
18 9 0
18 10 0
19 1 0
19 2 0.75
19 3 0.135849
19 4 1
19 5 0.444681
19 6 0.545455
19 7 0.611111
19 8 0.620879
19 9 0.280925
19 10 0
20 1 0.128111
20 2 1
20 3 1
20 4 0.664067
20 5 0.698962
20 6 0.5
20 7 1
20 8 0.795766
20 9 0.776865
20 10 0.457253
21 1 0.640148
21 2 0.87989
21 3 0.88966
21 4 0.883382
21 5 0.892512
21 6 0.906808
21 7 1
21 8 1
21 9 0.930712
21 10 0.899083
