Usable Ace
12 1 -2.44045
12 2 0
12 3 -0.166667
12 4 0
12 5 -2.88428e-08
12 6 0.129777
12 7 0.832671
12 8 0
12 9 0
12 10 0
13 1 0
13 2 0
13 3 1.79234
13 4 0
13 5 1.06928
13 6 0.744571
13 7 0
13 8 0.75861
13 9 -1.13874
13 10 -0.735716
14 1 -2.71786
14 2 -0.106746
14 3 -1
14 4 -1
14 5 0.964652
14 6 0
14 7 1.48495
14 8 -0.869565
14 9 0
14 10 0
15 1 -1
15 2 0
15 3 0
15 4 0.166667
15 5 -1
15 6 0
15 7 0.418865
15 8 0
15 9 0
15 10 0
16 1 0
16 2 0.665889
16 3 1.02037
16 4 -0.916667
16 5 0
16 6 0.908419
16 7 0
16 8 1
16 9 -1.66785
16 10 -2.05
17 1 0
17 2 0.106578
17 3 1
17 4 0
17 5 0
17 6 1.25204
17 7 0
17 8 0.363775
17 9 -1
17 10 -3.23476
18 1 -1.82803
18 2 1.94072
18 3 0.568396
18 4 1.68685
18 5 1.3883
18 6 4.0403
18 7 0
18 8 0
18 9 0
18 10 0
19 1 -2.26466
19 2 3.70608
19 3 3.17982
19 4 3.3788
19 5 2.8427
19 6 4.99181
19 7 4.88361
19 8 4.36437
19 9 2.76305
19 10 2.47207
20 1 1.94272
20 2 6.64417
20 3 5.48552
20 4 5.13097
20 5 6.37131
20 6 5.03191
20 7 5.31668
20 8 7.42954
20 9 4.77226
20 10 5.0715
21 1 5.44855
21 2 7.35436
21 3 7.65848
21 4 7.91025
21 5 8.5706
21 6 7.72059
21 7 7.98239
21 8 8.83159
21 9 7.95173
21 10 8.94957
